,text
0,I bought these airdopes in oct 2021 and exactly after a year few days in oct 2022 they stopped working out of nowhere. They worked great for a year. I had no issue no problems and i took care of them too idk why it suddenly stopped working. The problem started when it stopped charging 2-3 days back and the person whom i took it to repair said that jack is gone. Although it worked amazing for me for a year but then also only one issue was that on call the receiver was not able to hear my voice properly and even if i send voice chats. Overall I didn’t expect it to stop working like this. Short life span maybe! Hope it helps if someone is willing to buy!
1,I got this during Amazon Great Indian festival for 700rs and I guess its my best buy. Since you would not regret owning this which does its job on its best. Sound quality is good.. Bass is fine and Noise cancellation works fine too.Go for it only if you are looking for airdopes under budget.
2,I am using this product with overall good sound quality but there was problem in battery life. The intensity of single charge of ear bud was very low.
3,Its a pretty cool product very fast delivery and good sound quality only problem it again and again falls from ears .But value for mone
4,Display was not work perfectly 😠But this item in this price is good 🥰👍
5,"Sound quality is good. Noise reduction just works fine. Fits perfect in the ear. Battery backup could have been a little better. Battery lasts for just 4-5hrs on continuous use. But on one full charge, you can use it for 2-3 days with minimum usage of 20 - 30 mins.."
6,"Overall Product is good it's sound is also good, but sometime it does not hold in ear properly while walking or running."
7,"Overall it's a good product.One thing I like that it has a button instead of touch sensor. Because touch sensor will detect even slightest of touch.It once fell in water and still it's working fine.Noise cancellation is okok. You can talk on call with this buds on. But the other side won't be able to hear you if you're using this outdoor.Bass is good.It doesn't fit properly in the ear, it keeps falling from my ear. Can't wear them outdoor.Sometimes one of the earbud doesn't work.then I've to put both back in the case and connect again and it works fine then. There are scratches on the button."
8,Bass exlent & product is super
9,I am satisfied with the quality of product in this range
10,I bought these airdopes in oct 2021 and exactly after a year few days in oct 2022 they stopped working out of nowhere. They worked great for a year. I had no issue no problems and i took care of them too idk why it suddenly stopped working. The problem started when it stopped charging 2-3 days back and the person whom i took it to repair said that jack is gone. Although it worked amazing for me for a year but then also only one issue was that on call the receiver was not able to hear my voice properly and even if i send voice chats. Overall I didn’t expect it to stop working like this. Short life span maybe! Hope it helps if someone is willing to buy!
11,I got this during Amazon Great Indian festival for 700rs and I guess its my best buy. Since you would not regret owning this which does its job on its best. Sound quality is good.. Bass is fine and Noise cancellation works fine too.Go for it only if you are looking for airdopes under budget.
12,I am using this product with overall good sound quality but there was problem in battery life. The intensity of single charge of ear bud was very low.
13,Its a pretty cool product very fast delivery and good sound quality only problem it again and again falls from ears .But value for mone
14,Display was not work perfectly 😠But this item in this price is good 🥰👍
15,"Sound quality is good. Noise reduction just works fine. Fits perfect in the ear. Battery backup could have been a little better. Battery lasts for just 4-5hrs on continuous use. But on one full charge, you can use it for 2-3 days with minimum usage of 20 - 30 mins.."
16,"Overall Product is good it's sound is also good, but sometime it does not hold in ear properly while walking or running."
17,"Overall it's a good product.One thing I like that it has a button instead of touch sensor. Because touch sensor will detect even slightest of touch.It once fell in water and still it's working fine.Noise cancellation is okok. You can talk on call with this buds on. But the other side won't be able to hear you if you're using this outdoor.Bass is good.It doesn't fit properly in the ear, it keeps falling from my ear. Can't wear them outdoor.Sometimes one of the earbud doesn't work.then I've to put both back in the case and connect again and it works fine then. There are scratches on the button."
18,Bass exlent & product is super
19,I am satisfied with the quality of product in this range
20,Color is lighter than the given image.
21,"Greater battery, audio quality and bass but not comfortable for ears"
22,Battery capacity is low
23,The delivery was super fast.. excellent quality . Sound quality also good. Amazing product 😍
24,Very nice product suprrr
25,Product is worth and valuable...
26,Super
27,"Pretty Decent product to use as if we don't need the wired headphones ever, just one drawback that the battery life could be improved much more better."
28,Good
29,"There is not return policy in this product, company or Amazon should add that policy. I want to change this product but i can't now becoz this item is not fiit in my ears."
30,Mic is bit of a disappointment. Rest all good.
31,
32,Quality of sound
33,Satisfied with the costIt is worthy
34,Liked the product but could have given some noise cancellation
35,Wonderful sound quality and battery backup
36,THE SOUND QUALITY WAS QUITE IMPRESSIVE FOR THIS BUDGET.NOISE CANCELLATION IS GOOD.BASS QUALITY WAS BIT LOW.COULD HAVE BEEN IMPROVED IN BASS QUALITY.WHEN I WAS CONNECTING FIRST TIME WITH THE PHONE THE BUDS WERE CONNECTING SEPARATELY.THEN I KEPT IN THE BOX AND TOOK IT BACK AGAIN.AFTER THAT BOTH THE BUDS WERE WORKING TOGETHER.COULD HAVE BEEN IMPROVED THE CONNECTIVITY.THE DISPLAY INSIDE THE BOX WERE SCRATCHED A BIT.I HAVE BEEN ADDED THE PHOTO WITH THIS REVIEW.COULD HAVE BEEN GIVEN A PROTECTION STICKER FOR THE DISPLAY.THE MIC QUALITY WAS ALSO GOOD AND THE BATTERY WAS ALSO GOOD.OVERALL THIS WAS A GOOD VALUE FOR MONEY PRODUCT FOR THIS BUDGET.
37,"                    The media could not be loaded.
                



 The product it overall ok, good sound quality and best looking. When it comes to my home the product was not charged at all, please do charge them before using it. Nice product in cheap price.👌 Just go for it!"
38,"Good (with music) ,worst (phone call) with money value(Rs-799).But bass is not so smooth like any other boat product.some type of bass hit the ear membrane badly when it is in high volume.Again some bass sounds good.Noise problem in phone call."
39,Value for money. A Descent ear buds with some good connectivity and good sound quality.There is no noise cancellation so do not fall for it.Buy it if your necessity is good music and okay-ish sound clarity with microphone / calls.Go for other products if you have more expectations like noise cancelation / clear bass sound etc..
40,Seems to be big out side can be little bit small/light weight
41,It's good product
42,Clear sound. No issue in listening music and talking over phone. Serve the purpose.
43,I just bought the product and its look so nice with its sound quality & i most likely its tiny shape where it can be easily fit in any pocket and no one knows that u have airdrops take it out and turn it on and say #IAmAboAthead
44,"Yss its bass quality is not too good but at a price of 799 boat is providing a very legit and ultimate thing that you can purchase without any hegitation  and personally i prefer this to every person who have a low budget and want tk buy earpods ,  I think this must be you first choice buddies .Loved this product since last 2 years ❤️❤️❤️❤️"
45,Great product for the price. Perfect for day to day phone use
46,Good
47,Nice product.Good product at this price point.But  bad for calling purpose.
48,Fine with the product but not received additional earbuds in the box as mentioned in the product things to be get with order.
49,Liked.But no delivery update was provided
50,So nice.
51,The sound and battery life are good ..Only problem is they dont seem to fit properly .There is always a fear that they might drop off
52,Worth it's price
53,Sound quality little low compared to other Boat bluetooth headsets
54,A little more improvement in noise cancellation rest all great
55,"Its fit perfectly in ear. Sound quality is average. There is no big bass effect. But if you are a melody lover and loves to listen music or videos in an average sound, then this will be worth your money."
56,Very low bass but quality of sound is good. But you are looking for music go for boat141. I had experience both and i like boat141 better than boat121.
57,"Good Quality & sexy look, but But the sound quality is not as desired other good!"
58,Good
